Come in!	Qǐng jìn!	请进！
His Chinese level increases quickly.	Tā zhōngwén shǔipíng tígaō de hěn kuài.	他中文水平提高得很快。
On Saturday afternoon, some classes will see a movie.	Xīngqī liù xìawǔ yǒude bān qù kàn diànyǐng.	星期六有的班去看电影。
He sometimes reads books.	Tā yǒu shíhou kàn shū.	他有时候看书。
Friday afternoon is time for activities for putting Chinese in practice.	Xīngqī wǔ xiàwǔ shi hànyǔ shíjiàn huódòng de shíjiān.	星期五下午是汉语实践活动的时间。
When we got there, we watched a movie.	Daòle nàli, wǒmen kànle diànyǐng.	到了那里，我们看了电影。
A comrade gave us an introduction to the state of the factory.	Yíge tóngzhì gěi wǒmen jièshàole gōngchǎng de qíngkuàng.	一个同志给我们介绍了工厂的情况。
We were all able to understand.	Wǒmen dōu néng dǒng.	我们都能懂。
After hearing the introduction, we started to look around.	Tīngle jièshào, wǒmen jiù kāishǐ cānguān le.	听了介绍，我们就开始参观了。
This factory has a lot of workshops.	Zhège gōngchǎng yǒu hěn duō chējiān.	这个工厂有很多车间。
The machinery is all very new.	Jīqi doū hěn xīn.	机器都很新。
We saw many kinds of products there.	Zaì nàli wǒmen kànle hěn duō zhǒng chǎnpǐn.	在那里我们看了很多种产品。
After we visited the workshops, we also went to visit the workers' dormitories.	Cānguānle chējiān, wǒmen yòu qù cānguān gōngrén de sùshè.	参观了车间，我们又去参观工人的宿舍。
The workers' working conditions and living conditions were both pretty good.	Gōngrén de gōngzuò tiáojiàn hé shēnghuó tiáojiàn doū bǐjiào hǎo.	工人的工作条件和生活条件都比较好。
We also want to go see an industrial exhibition.	Wǒmen hái yào qù cānguān yíge gōngyè zhǎnlǎnhùi.	我们还要去参观一个工业展览会。
By visiting (e.g. an exhibition) you can find out about conditions in the new China.	Cānguān néng liǎojiě xīn zhōngguó de qíngkuàng.	参观能了解新中国的情况。
Visiting an exhibition, you can also improve the level of your Chinese.	Cānguān zhǎnlǎnhuì hái néng tígāo zhōngwén shǔipíng.	参观展览会还能提高中文水平。
We'll go together tomorrow after we get out of class.	Míngtiān xiàle kè wǒmen yìqǐ qù.	明天下了课我们一起去。
When you get to Beijing you must certainly look me up.	Nǐ dàole běijīng yídìng yào lái zhǎo wǒ.	你到了北京一定要来找我。
Last week it rained every day.	Shàng xīngqī měitiān xiàyǔ.	上星期每天下雨。
We've already eaten.	Wǒmen yǐjīng chīle fànle.	我们已经吃了饭了。
Today I had two classes.	Jīntiān wǒ shàngle liǎng jié kè.	今天我上了两节课。
Some people have already come.	Yǒu rén yǐjīng láile.	有人已经来了。
Sometimes I buy a textbook.	Yǒu shíhou wǒ mǎi yì běn kèběn.	有时候我买一本课本。
The people who came early are resting.	Lái de zǎo de rén xīuxi.	来得早的人休息。
The classroom where we have class is big.	Wǒmen shàngkè de jiàoshì hěn dà.	我们上课的教室很大。
When it's time to rest I read the textbook.	Xīuxi de shíhou wǒ kàn kèběn.	休息的时候我看课本。
In order to strengthen the friendship between the peoples of China and the US, I will help you learn Chinese.	Wèile jiāqiáng zhōngměi liǎngguó rénmín de yǒuyì, wǒ yào bāngzhu nǐmen xuéhao zhōngwén.	为了加强中美两国人民的友谊，我要帮助你们学好中文。
We share our study experiences.	Wǒmen jiāoliú xuéxí jīngyàn.	我们交流学习经验。
In order to help me overcome difficulties in studying, the teacher often reviews.	Wèile bāngzhu wǒ kèfú xuéxíshàng de kùnnàn, lǎoshi chángcháng fùxí.	为了帮助我克服学习上的困难，老师常常复习。
The teacher constantly keeps track of how our studying is going.	Lǎoshi jīngcháng liǎojiě wǒmen de xuéxí qíngkuàng.	老师经常了解我们的学习情况。
Everybody already discussed this question at the meeting.	Dàjiā zài huìshang yǐjīng tǎolùnle zhège wèntí.	大家在会上已经讨论了这个问题。
How to analyze that kind of sentence is explained very clearly in the book	Zhèzhǒng jùzi zěnmeyàng fēnxi, shūshàng jiǎng de hěn qīngchu.	这种句子怎么样分析，书上讲得很清楚。
He asks us what problems we're having in studying.	Tā wèn wǒmen xuéxíshàng yǒu shénme kùnnàn.	他问我们学习上有什么困难。
At work, we study each other.	Zài gōngzuòshang, wǒmen hùxiāng xuéxí.	在工作上，我们互相学习。
We help one another.	Wǒmen hùxiāng bāngzhu.	我们互相帮助。
He's both my teacher and my friend.	Tā yòu shi wǒ de lǎoshi, yòu shi wǒ de péngyou.	他又是我的老师，又是我的朋友。
He writes (characters) both quickly and neatly.	Tā xiě hànzì xiěde yòu kuài yòu zhěngqí.	他写汉字写得又快又整齐。
Our resolution to study is great.	Wǒmen xuéxí de juéxīn hěn dà.	我们学习的决心很大。
He gives us a lot of opportunities to practice.	Tā gěi wǒmen hěn duō liànxí de jīhuì.	他给我们很多练习的机会。
If there are errors when we answer, the teacher corrects them for us right away.	Wǒmen huídá de shíhou yǒu cuòwu, lǎoshī jiù gěi wǒmen gǎizhèng.	我们回答的时候有错误，老师就给我们改正。
He analyzes the causes of the mistakes.	Tā fēnxi fāshēng cuòwu de yuányīn.	他分析发生错误的原因。
We all like this way of running the class.	Wǒmen doū xǐhuan zhèzhǒng shàngkè de fāngfǎ.	我们都喜欢这种上课的方法。
His study achievement is very good.	Tā xuéxí chéngjì hěn hǎo.	他学习成绩很好。
He wasn't afraid of difficulties.	Tā bú pà kùnnàn.	他不怕困难。
He doesn't have many difficulties in studying.	Tā xuéxíshang de kùnnan bù duō.	他学习上的困难不多。
I don't have work experience.	Wǒ gōngzuòshang méi jīngyàn.	我工作上没经验。
This one lesson has both character exercises and translation exercises.	Zhè yī kè yòu yǒu hànzì liànxí, yoù yǒu fānyì liànxí.	这一课又有汉字练习，又有翻译练习。
Translate the following sentences to Chinese.	Bǎ xiàliè jùzi yìchéng zhōngwén.	把下列句子译成中文。
He's finished reading this newspaper.	Zhè zhāng bào tā kànwán le.	这张报他看完了。
I answered that question correctly.	Nàge wèntí wǒ huídáduì le.	那个问题我回答对了。
We can all understand the teacher's Chinese.	Lǎoshī shuō de zhōngwén, wǒmen doū néng tīngdǒng.	老师说的中文，我们都能听懂。
He hasn't finished reading.	Tā méi kànwán.	他没看完。
Has he finished reading?	Tā kànwánle méiyǒu?	他看完了没有？
Yesterday's meeting was very helpful to me.	Zuótiān de huìyì duì wǒ yǒu hěn dà de bāngzhu.	昨天的会议对我有很大的帮助。
He said to me: "Who are you?"	Tā duì wǒ shuō: "Nǐ shi shéi?"	他对我说：＂你是谁？＂
Although we've only been studying for a short time, we've already learned a lot.	Suīrán wǒmen xuéxí de shíjiān hěn duǎn, dànshi yǐjīng xuéle bù shǎo dōngxi le.	虽然我们学习的时间很短，但是已经学了不少东西了。
Although this text is long, it's not too hard.	Zhè kè kèwèn suīrán hěn cháng, dànshi bú tài nán.	这课课文虽然很长，但是不太难。
His Chinese still has some grammar mistakes.	Tā shuōde zhōngwén hái yǒu yìxiē yǔfǎ cuòwu.	他说的中文还有一些语法错误。
Have you finished reading that magazine?	Nǐ kànwán le nàběn zázhì méiyǒu?	你看完了那本杂志没有？
I'm not done reading.	Wǒ méi kànwán.	我没看完。
I heard him upstairs reading the text out loud.	Wǒ tīngjian tā zài lóushang dàshēng de niàn kèwén.	我听见他在楼上大声地念课文。
If you go to the bookstore, buy me a grammar.	Nǐ yàoshi qù shūdiàn, jiù gěi wǒ mǎi yìběn yǔfǎ.	你要是去书店，就给我买一本语法。
If there's time, I'll go visit you.	Yàoshi yǒu shíjian, wǒ jiù qù zhǎo nǐ.	要是有时间，我就去找你。
Explain it to me once more.	Nǐ zài gěi wǒ jiǎng yíbiàn ba.	你再给我讲一遍吧。
He explained it once again.	Tā yòu jiǎngle yíbiàn.	他又讲了一遍。
I'd like to see it again.	Wǒ xiǎng zài kàn yíbiàn.	我想再看一遍。
I read it (just) five times and then read it fluently.	Wǒ niànle wǔbiàn jiù niànshú le.	我念了五遍就念熟了。
Only (after) reading it five times did I read it skillfully.	Wǒ niànle wǔbiàn cái niànshú.	我念了五遍才念熟。
As soon as he reviewed them, he had them memorized.	Tā fùxíle jiù jìzhù le.	他复习了就记住了。
It was only on reviewing them that he had them memorized.	Tā fùxíle cái jìzhù.	他复习了才记住。
I saw him walking in front.	Wǒ kànjian tā zài qiánbian zǒu.	我看见他在前边走。
He didn't hear.	Tā méi tīngjian.	他没听见。
I answered wrong.	Wǒ huídá cuò le.	我回答错了。
You still need to practice again.	Nǐ hái yào zài lìanxí.	你还要再练习。
To memorize Chinese characters you need to practice a lot.	Jì hànzì yào duō liànxí.	记汉字要多练习。
The especially hard ones you definitely have to write more times.	Tèbié nán de yídìng yào duō xiě jǐbiàn.	特别难的一定要多写几遍。
If you write them too few times, it's easy to forget.	Yàoshi xiěde tài shǎo, jiù róngyi wàng.	要是写得太少，就容易忘。
Finally he said: "You yourself need to be hardworking."	Zuìhòu tā shuō: "bìxū zìjǐ nǔlì."	最后他说：＂必须自己努力＂。
We should share experiences with one another.	Yīnggāi hùxiāng jiāoliú jīngyàn.	应该互相交流经验。
Why is he the tallest?	Wèishénme tā shi zuì gāo de?	为什么他是最高的？
I looked, but I didn't see it.	Wǒ kàn, dànshi méi kànjian.	我看，但是没看见。
I heard that it was raining outside.	Wǒ tīngjiàn wàibian xià yǔ le.	我听见外边下雨了。
He told me to read it again; I read it again.	Tā jiào wǒ zài niàn yíbiàn, wǒ jiù yòu niànle yíbiàn.	他叫我再念一遍，我就又念了一遍。
He came yesterday, he came again today, tomorrow he wants to come yet again.	Tā zuótiān lái le, jīntiān yòu lái le, míngtiān hái yào zài lái.	他昨天来了，今天又来了，明天还要再来。
He didn't come yesterday, today he again didn't come.	Tā zúotiān méi lái, jīntiān yòu méi lái.	他昨天没来，今天又没来。
He came last week and then didn't come any more.	Tā shàng xīngqi lái le, yǐhòu méiyǒu zài lái.	他上星期来了，以后没有再来。
Tomorrow it's Wednesday again.	Míngtiān yòu shi xīngqī sān le.	明天又是星期三了。
The weather's gotten warmer, we can study outside again.	Tiānqì nuǎnhuo le, wǒmen yòu kěyǐ zài wàibian xuéxí le.	天气暖和了，我们又可以在外边学习了。
He got there by six, I only arrived at nine.	Tā lìudiǎn jiù lái le, wǒ jiǔdiǎn cái lái.	他六点就来了，我九点才来。
He didn't get back to school till 8.	Bādiǎnzhōng tā cái húidào xuéxiào.	八点钟他才回到学校。
Today we reached the third lesson.	Jīntiān wǒmen xuédào dìsān kè le.	今天我们学到第三课了。
I study till 10:30 every night.	Měitiān wǎnshang wǒ dōu xuéxídào shídiǎnbàn.	每天晚上我都学习到十点半。
I put that dictionary on the table.	Nàběn zìdiǎn wǒ fàng zài zhuōzishang le.	那本字典我放在桌子上了。
You definitely can answer this question, think again.	Nǐ yídìng néng huídá zhège wèntí.  Zài xiǎngxiang.	你一定能回答这个问题。再想想。
He explained it to me again a bit.	Tā yòu gěi wǒ jiǎnglejiang.	他又给我讲了讲。
I ran into Prof. Zhang.	Wǒ yùjianle zhāng lǎoshī.	我遇见了张老师。
Let's go to my place to hang out.	Qù wǒ jiā wánr ba.	去我家玩儿吧。
When we arrived (walking) to his house, he asked me to sit down.	Zǒudào tā jiā, tā qǐng wǒ zuò xia.	走到他家，他请我坐下。
We use Chinese to talk.	Wǒmen yòng zhōngwén tánhuà.	我们用中文谈话。
Inside there were a few pictures of a commune.	Lǐbian yǒu yìxiē rénmín gōngshè de zhàopiàn.	里边有一些人民公社的照片。
I asked him to explain to me a bit about communes.	Wǒ qǐng tā gěi wǒ jiǎngjiang rénmín gōngshè.	我请他给我讲讲人民公社。
He also (moreover) referred to the fact that Chinese students often go to communes to take part in physical work.	Tā hái tándào zhōngguó xuéshēng chángcháng dào rénmín gōngshè qù cānjiā láodòng.	他还谈到中国学生常常到人民公社去参加劳动。
He asked me a bit about conditions in my country.	Tā wènle yìxiē wǒ guó de qíngkuàng.	他问了一些我国的情况。
I gave him a simple introduction to my country's history.	Wǒ gěi tā jiǎndān de jièshàole wǒ guó de lìshǐ.	我给他简单地介绍了我国的历史。
I told him a story of fighting a foreign invasion.	Wǒ jiǎngle yíge fǎnduì wàigúo qīnlüè de gùshi.	我讲了一个反对外国侵略的故事。
He listened happily.	Tā tīngle hěn gāoxìng.	他听了很高兴。
Your people are industrious and brave.	Nǐ de rénmín shi qínláo yǒnggǎn.	你的人民是勤劳勇敢。
You just have to study hard.	Zhǐ yào nǔlì xuéxí.	只要努力学习。
You just have to put it into practice a lot and then you'll be successful in studying.	Zhǐ yào duō shíjiàn, jiù néng xuéhǎo.	只要多实践，就能学好。
I certainly want to overcome the difficulties.	Wǒ yídìng yào kèfú kùnnan.	我一定要克服困难。
We talked till 9:30.	Wǒmen tándào jiǔdiǎnbàn.	我们谈到九点半。
Hope you come (back) often to hang out.	Xīwàng nǐ yǐhòu chángcháng lái wánr.	希望你以后常常来玩儿。
They arrived back in Beijing from Shanghai.	Tāmen cóng shànghǎi huídàole běijīng.	他们从上海回到了北京。
The teacher explains up through lesson 40.	Lǎoshī jiǎngdào dìsìshí kè.	老师讲到第四十课。
I found that character in the dictionary.	Wǒ zài zìdiǎn shang chádào nàge hànzì le.	我在字典上查到那个汉字了。
Were you able to buy that book?	Nǐ mǎidào nà běn shū ma?	你买到那本书吗？
I live in Beijing.	Wǒ jiā zhù zài běijīng.	我家住在北京。
He sat on the chair.	Tā zuò zài yǐzi shang.	他坐在椅子上。
I put that book over there by him.	Nà běn shū wǒ fàng zài tā nàr le.	那本书我放在他那儿了。
I'm thinking to tell you again.	Wǒ xiǎngxiang zài gàosu nǐ.	我想想再告诉你。
I'll have a go at saying it, you see if it's right.	Wǒ shuōshuo, nǐ kàn duìbúduì.	我说说，你看对不对。
We talked over the study issues.	Wǒmen tánletan xuéxí wèntí.	我们谈了谈学习问题。
He walked to the store.	Tā zǒudào shāngdiàn.	他走到商店。
He's the teacher who teaches us Chinese.	Tā shi jiāo wǒmen zhōngwén de lǎoshī.	他是较我们中文的老师。
This is the classroom where we have class.	Zhè shi wǒmen shàngkè de jiàoshì.	这是我们上课的教室。
Yesterday's new vocabulary...there were 16.	Zúotiān de shēngcí yǒu shíliù ge.	昨天的生词有十六个。
